Timestamp,Area Name,How Badly your area is affected?,Type of your Residence,How badly you are personally affected,How was the Government's response
12/1/2015 17:29:50,Anna Nagar West,Average,Apartment,Not al All,Pathetic
12/1/2015 17:29:54,Pallikaranai,Bad,Apartment,Bad,Pathetic
12/1/2015 17:29:54,mudichur,Bad,Individual House,Not al All,Average
12/1/2015 17:30:49,Saidapet,Average,Individual House,Not al All,Average
12/1/2015 17:31:05,Nanganallur,Bad,Individual House,Bad,Pathetic
12/1/2015 17:31:43,Guindy,Bad,Apartment,Not al All,Pathetic
12/1/2015 17:31:57,Nandanam CIT Nagar,Average,Individual House,Average,Average
12/1/2015 17:31:57,Thaiyur,Bad,Individual House,Bad,Pathetic
12/1/2015 17:32:48,Velachery,Bad,Apartment,Average,Pathetic
12/1/2015 17:33:06,velachery,Bad,Apartment,Bad,Pathetic
12/1/2015 17:33:20,Kodambakam,Average,Apartment,Average,Average
12/1/2015 17:35:50,"Anna Nagar, 18th main road",Bad,Individual House,Average,Average
12/1/2015 17:36:16,Royapuram ,Average,Individual House,Average,Pathetic
12/1/2015 17:36:17,"Valmiki Nagar, Thiruvanmyur ",Average,Apartment,Not al All,Average
12/1/2015 17:36:54,pozhichalur,Average,Individual House,Average,Pathetic
12/1/2015 17:36:54,alwarpet,Average,Individual House,Average,Pathetic
12/1/2015 17:38:14,Kanathur(mayajal),Average,Individual House,Average,Average
12/1/2015 17:39:50,West Mambalam,Average,Apartment,Average,Average
12/1/2015 17:39:56,okkiampet,Bad,Individual House,Bad,Pathetic
12/1/2015 17:40:39,ANNA NAGAR WEST,Average,Apartment,Average,Average
12/1/2015 17:40:47,Anna nagar,Bad,Apartment,Average,Average
12/1/2015 17:40:48,Jawahar Nagar,Bad,Apartment,Bad,Pathetic
12/1/2015 17:40:52,Porur,Bad,Apartment,Bad,Pathetic
12/1/2015 17:40:55,JANAPATH CHATRAM KUT ROAD,Average,Individual House,Not al All,Pathetic
12/1/2015 17:41:06,Mylapore,Bad,Apartment,Average,Pathetic
12/1/2015 17:41:14,"Bharat nagar ,Adambakkam",Bad,Individual House,Average,Average
12/1/2015 17:41:30,Kokathur,Bad,Individual House,Average,Pathetic
12/1/2015 17:41:34,Villupuram ,Bad,Individual House,Bad,Pathetic
12/1/2015 17:42:29,Madipakkam,Bad,Individual House,Bad,Pathetic
12/1/2015 17:42:36,Seneerkuppam,Bad,Individual House,Average,Pathetic
12/1/2015 17:42:53,Inner region of Standly and sevenwells,Average,Individual House,Average,Pathetic
12/1/2015 17:43:20,Saidapet ,Bad,Individual House,Average,Pathetic
12/1/2015 17:43:23,subham nagar,Bad,Individual House,Average,Average
12/1/2015 17:43:32,Chengpat,Bad,Individual House,Not al All,Pathetic
12/1/2015 17:43:43,Ayanavaram,Average,Individual House,Bad,Pathetic
12/1/2015 17:43:51,broadway ,Bad,Individual House,Average,Average
12/1/2015 17:43:52,Arumbakkam,Bad,Apartment,Average,Average
12/1/2015 17:43:52,"perambur, venus",Average,Individual House,Average,Average
12/1/2015 17:44:01,Arumbakkam ,Bad,Individual House,Bad,Pathetic
12/1/2015 17:44:04,T.Nagar,Bad,Individual House,Not al All,Average
12/1/2015 17:44:12,Choolaimedu,Average,Apartment,Not al All,Average
12/1/2015 17:44:23,East tambaram,Bad,Apartment,Not al All,Pathetic
12/1/2015 17:44:24,pahzlavanthangal,Bad,Individual House,Bad,Pathetic
12/1/2015 17:44:35,Nungambakkam ,Average,Apartment,Bad,Pathetic
12/1/2015 17:44:43,Saidapet,Bad,Apartment,Bad,Average
12/1/2015 17:44:50,Adyar,Average,Apartment,Not al All,Average
12/1/2015 17:44:58,"padi,ambattur IE",Not at All,Individual House,Not al All,Good
12/1/2015 17:45:00,Madipakkam,Bad,Individual House,Bad,Pathetic
12/1/2015 17:45:19,Donkey,Bad,Apartment,Bad,Pathetic
12/1/2015 17:45:34,Mannady,Average,Apartment,Average,Pathetic
12/1/2015 17:45:42,"ashok nagar, 18th avenue",Bad,Apartment,Bad,Pathetic
12/1/2015 17:45:43,"Nehru Nagar, Chrompet",Average,Apartment,Not al All,Average
12/1/2015 17:46:02,Ashok Nagar,Average,Apartment,Average,Pathetic
12/1/2015 17:46:08,Thillai ganga nagar,Bad,Apartment,Bad,Pathetic
12/1/2015 17:46:10,Selaiyur,Bad,Apartment,Bad,Pathetic
12/1/2015 17:46:48,velachey bypass,Bad,Apartment,Not al All,Average
12/1/2015 17:46:58,Annanagar west extension,Bad,Apartment,Bad,Pathetic
12/1/2015 17:46:59,Tambaram Varadharajapuram ,Bad,Individual House,Bad,Pathetic
12/1/2015 17:47:00,RV Nagar,Bad,Apartment,Bad,Pathetic
12/1/2015 17:47:02,Mylapore,Average,Apartment,Average,Pathetic
12/1/2015 17:47:14,pudupet,Bad,Apartment,Bad,Pathetic
12/1/2015 17:47:21,"Khurinji Nagar, Perungudi",Average,Individual House,Not al All,Average
12/1/2015 17:48:06,ponneri,Average,Individual House,Average,Pathetic
12/1/2015 17:48:08,puzhal,Bad,Individual House,Bad,Pathetic
12/1/2015 17:48:32,Thiruvanmiyur ,Average,Individual House,Average,Pathetic
12/1/2015 17:48:35,vandalur,Bad,Individual House,Bad,Pathetic
12/1/2015 17:48:37,Kodambakkam,Average,Individual House,Bad,Pathetic
12/1/2015 17:48:39,Kilpauk,Average,Apartment,Not al All,Good
12/1/2015 17:49:15,Selaiyur,Bad,Apartment,Bad,Pathetic
12/1/2015 17:49:18,Perumbakam,Bad,Apartment,Not al All,Average
12/1/2015 17:49:18,Tnagar ,Average,Apartment,Not al All,Good
12/1/2015 17:49:23,Tiruvanmiyur,Average,Apartment,Average,Pathetic
12/1/2015 17:49:28,Madipakkam ,Bad,Individual House,Average,Pathetic
